GEOID,suffix,n
01001,RD,604
01003,RD,1789
01005,RD,605
01007,RD,513
01009,RD,1037
01011,RD,336
01013,RD,779
01015,ST,1031
01017,RD,612
01019,RD,1210
01021,RD,1247
01023,RD,798
01025,RD,885
01027,RD,724
01029,RD,648
01031,RD,811
01033,RD,607
01035,RD,461
01037,RD,498
01039,RD,1376
01041,RD,649
01043,RD,2420
01045,RD,848
01047,RD,780
01049,RD,2228
01051,RD,1329
01053,RD,825
01055,ST,1053
01057,RD,633
01059,RD,918
01061,RD,882
01063,RD,281
01065,RD,483
01067,RD,527
01069,RD,956
01071,RD,1086
01073,DR,3637
01075,RD,675
01077,RD,1336
01079,RD,830
01081,RD,1781
01083,RD,849
01085,RD,482
01087,RD,457
01089,DR,2772
01091,RD,312
01093,RD,1047
01095,RD,1256
01097,DR,3289
01099,RD,840
01101,DR,1217
01103,RD,1072
01105,RD,370
01107,RD,745
01109,RD,926
01111,RD,884
01113,RD,608
01115,RD,1072
01117,DR,1584
01119,RD,343
01121,LN,1027
01123,RD,1173
01125,RD,1784
01127,RD,1731
01129,RD,1017
01131,RD,531
01133,RD,1278
02013,RD,61
02016,RD,117
02020,CIR,1404
02050,RD,253
02060,RD,123
02063,RD,107
02066,RD,113
02068,RD,162
02070,RD,131
02090,RD,792
02100,RD,83
02105,RD,66
02110,ST,227
02122,ST,1008
02130,RD,130
02150,ST,95
02158,ST,116
02164,RD,172
02170,DR,1755
02180,RD,183
02185,ST,127
02188,ST,96
02195,ST,72
02198,RD,168
02220,ST,88
02230,AVE,24
02240,RD,235
02275,ST,40
02282,RD,42
02290,RD,306
04001,RD,1831
04003,RD,2358
04005,RD,2557
04007,RD,900
04009,RD,527
04011,RD,229
04012,RD,436
04013,DR,24620
04015,DR,3647
04017,RD,1709
04019,DR,4509
04021,DR,3861
04023,CT,726
04025,RD,3240
04027,ST,1346
05001,RD,447
05003,RD,697
05005,RD,1074
05007,RD,2891
05009,LN,647
05011,RD,707
05013,RD,478
05015,RD,1230
05017,RD,510
05019,RD,1499
05021,RD,454
05023,RD,697
05025,RD,465
05027,RD,423
05029,RD,535
05031,RD,1977
05033,RD,511
05035,RD,668
05037,RD,680
05039,ST,293
05041,RD,394
05043,RD,639
05045,DR,1101
05047,RD,771
05049,RD,747
05051,LN,1145
05053,RD,1451
05055,RD,1081
05057,RD,1038
05059,RD,1068
05061,PVT,771
05063,LN,593
05065,RD,644
05067,ST,334
05069,RD,918
05071,RD,1672
05073,RD,488
05075,RD,516
05077,RD,356
05079,RD,416
05081,LR,272
05083,RD,502
05085,RD,1415
05087,RD,1303
05089,RD,1056
05091,RD,824
05093,RD,1126
05095,RD,238
05097,RD,565
05099,RD,697
05101,RD,700
05103,RD,517
05105,RD,684
05107,RD,302
05109,RD,777
05111,RD,640
05113,RD,1161
05115,LN,728
05117,RD,894
05119,DR,2529
05121,RD,456
05123,RD,367
05125,DR,1119
05127,RD,1054
05129,RD,1107
05131,ST,1432
05133,RD,621
05135,RD,686
05137,RD,742
05139,RD,851
05141,RD,1062
05143,RD,3100
05145,RD,1031
05147,RD,435
05149,RD,1200
06001,CT,3727
06003,RD,120
06005,RD,622
06007,RD,1357
06009,RD,999
06011,RD,402
06013,CT,6238
06015,RD,345
06017,RD,1972
06019,AVE,10999
06021,RD,444
06023,RD,1950
06025,RD,1347
06027,RD,662
06029,ST,5361
06031,AVE,993
06033,RD,1576
06035,RD,832
06037,ST,21503
06039,RD,998
06041,RD,1003
06043,RD,799
06045,RD,1484
06047,CT,1207
06049,RD,1309
06051,RD,558
06053,RD,1459
06055,CT,533
06057,RD,1585
06059,DR,6673
06061,CT,2752
06063,RD,689
06065,DR,8099
06067,WAY,6333
06069,RD,363
06071,RD,11537
06073,ST,6060
06075,ST,1477
06077,CT,2133
06079,RD,2214
06081,AVE,1877
06083,RD,1580
06085,CT,6089
06087,RD,1500
06089,RD,1917
06091,RD,377
06093,RD,1439
06095,CT,2341
06097,RD,2856
06099,CT,1967
06101,RD,406
06103,RD,839
06105,RD,1049
06107,AVE,3708
06109,RD,1279
06111,ST,2577
06113,ST,686
06115,RD,433
08001,ST,2655
08003,RD,265
08005,ST,2321
08007,CT,313
08009,RD,377
08011,RD,203
08013,DR,1230
08014,ST,277
08015,RD,544
08017,RD,166
08019,RD,410
08021,RD,225
08023,RD,673
08025,LN,82
08027,RD,454
08029,RD,753
08031,ST,2491
08033,RD,235
08035,DR,1579
08037,RD,633
08039,RD,570
08041,DR,3330
08043,RD,479
08045,RD,539
08047,RD,301
