"GEOID","suffix","n"
"01001","DR",351
"01003","LN",1663
"01005","RD",522
"01007","RD",378
"01009","RD",942
"01011","RD",172
"01013","RD",614
"01015","ST",929
"01017","ST",290
"01019","ST",183
"01021","ST",174
"01023","RD",671
"01025","RD",787
"01027","RD",603
"01029","ST",108
"01031","ST",377
"01033","ST",580
"01035","RD",392
"01037","RD",270
"01039","RD",1133
"01041","RD",584
"01043","RD",216
"01045","ST",442
"01047","ST",281
"01049","ST",304
"01051","RD",1113
"01053","RD",734
"01055","RD",942
"01057","RD",452
"01059","RD",638
"01061","RD",730
"01063","RD",179
"01065","RD",380
"01067","ST",153
"01069","RD",886
"01071","ST",435
"01073","DR",3475
"01075","RD",601
"01077","DR",557
"01079","ST",149
"01081","DR",573
"01083","RD",668
"01085","RD",433
"01087","RD",315
"01089","DR",1586
"01091","RD",258
"01093","RD",757
"01095","RD",1151
"01097","DR",2455
"01099","RD",777
"01101","DR",1202
"01103","SW",892
"01105","RD",271
"01107","RD",641
"01109","ST",257
"01111","DR",218
"01113","RD",498
"01115","RD",1022
"01117","DR",1574
"01119","RD",297
"01121","LN",1027
"01123","RD",1074
"01125","DR",1724
"01127","RD",1658
"01129","RD",978
"01131","RD",423
"01133","RD",303
"02013","RD",61
"02016","RD",117
"02020","CIR",1404
"02050","RD",251
"02060","RD",123
"02063","RD",106
"02066","RD",113
"02068","RD",152
"02070","RD",131
"02090","RD",779
"02100","RD",83
"02105","RD",47
"02110","ST",227
"02122","ST",986
"02130","RD",123
"02150","ST",95
"02158","ST",116
"02164","RD",172
"02170","DR",1750
"02180","RD",176
"02185","ST",127
"02188","ST",96
"02195","ST",72
"02198","ST",156
"02220","ST",88
"02230","AVE",24
"02240","RD",235
"02275","ST",40
"02282","RD",34
"02290","RD",305
"04001","RD",714
"04003","RD",2350
"04005","RD",1507
"04007","DR",810
"04009","RD",422
"04011","RD",203
"04012","RD",427
"04013","DR",24478
"04015","DR",3637
"04017","RD",1626
"04019","DR",4509
"04021","DR",3860
"04023","CT",726
"04025","RD",3086
"04027","ST",1255
"05001","RD",440
"05003","RD",393
"05005","LN",896
"05007","LN",2769
"05009","LN",476
"05011","RD",616
"05013","RD",64
"05015","RD",296
"05017","ST",309
"05019","RD",1010
"05021","ST",439
"05023","RD",550
"05025","RD",404
"05027","ST",399
"05029","RD",518
"05031","RD",1050
"05033","ST",452
"05035","RD",558
"05037","RD",174
"05039","ST",184
"05041","ST",307
"05043","RD",284
"05045","DR",1093
"05047","RD",396
"05049","LN",498
"05051","LN",1145
"05053","ST",154
"05055","RD",435
"05057","RD",471
"05059","RD",666
"05061","PVT",771
"05063","LN",593
"05065","RD",260
"05067","ST",330
"05069","ST",915
"05071","RD",374
"05073","ST",248
"05075","ST",449
"05077","ST",129
"05079","RD",283
"05081","ST",258
"05083","RD",489
"05085","RD",735
"05087","RD",82
"05089","LN",718
"05091","ST",517
"05093","ST",779
"05095","RD",228
"05097","RD",479
"05099","RD",347
"05101","RD",187
"05103","SW",217
"05105","LN",250
"05107","ST",248
"05109","RD",737
"05111","RD",379
"05113","RD",948
"05115","LN",725
"05117","RD",626
"05119","DR",2528
"05121","RD",418
"05123","ST",231
"05125","DR",1114
"05127","RD",582
"05129","RD",595
"05131","ST",1332
"05133","RD",347
"05135","RD",542
"05137","RD",417
"05139","RD",570
"05141","RD",674
"05143","RD",1614
"05145","RD",965
"05147","ST",162
"05149","RD",656
"06001","CT",3713
"06003","RD",115
"06005","RD",606
"06007","RD",1356
"06009","RD",998
"06011","RD",398
"06013","CT",6233
"06015","RD",316
"06017","RD",1931
"06019","AVE",10990
"06021","ST",223
"06023","RD",1946
"06025","RD",1327
"06027","RD",661
"06029","ST",5052
"06031","AVE",987
"06033","RD",1419
"06035","RD",761
"06037","AVE",20791
"06039","RD",651
"06041","RD",996
"06043","RD",790
"06045","RD",1405
"06047","CT",1198
"06049","RD",853
"06051","RD",540
"06053","RD",1459
"06055","CT",528
"06057","RD",1578
"06059","DR",6617
"06061","CT",2721
"06063","RD",664
"06065","DR",7979
"06067","WAY",6333
"06069","RD",362
"06071","RD",11449
"06073","ST",6054
"06075","ST",1477
"06077","CT",2131
"06079","RD",2208
"06081","AVE",1862
"06083","RD",1570
"06085","CT",6082
"06087","RD",1496
"06089","RD",1911
"06091","RD",368
"06093","RD",1424
"06095","CT",2338
"06097","RD",2844
"06099","CT",1967
"06101","RD",405
"06103","RD",822
"06105","RD",1026
"06107","AVE",2867
"06109","RD",1245
"06111","ST",2571
"06113","ST",686
"06115","RD",411
"08001","ST",2652
"08003","ST",141
"08005","ST",2321
"08007","CT",311
"08009","ST",135
"08011","ST",78
"08013","DR",1222
"08014","ST",277
"08015","ST",200
"08017","S",32
"08019","RD",271
"08021","ST",140
"08023","RD",554
"08025","ST",57
"08027","RD",261
"08029","RD",750
"08031","ST",2487
"08033","ST",49
"08035","DR",1557
"08037","RD",585
"08039","CIR",216
"08041","DR",3271
"08043","ST",372
"08045","RD",308
"08047","RD",259
"08049","DR",286
"08051","RD",255
"08053","ST",41
"08055","RD",173
"08057","ST",33
"08059","ST",2974
"08061","ST",80
"08063","ST",146
"08065","ST",96
"08067","DR",537
"08069","DR",2772
"08071","ST",294
"08073","ST",93
"08075","ST",201
"08077","RD",1310
"08079","RD",89
"08081","ST",157
"08083","ST",240
"08085","RD",899
"08087","ST",232
"08089","ST",237
"08091","LN",95
"08093","RD",959
"08095","AVE",73
"08097","RD",411
"08099","ST",231
"08101","DR",1243
"08103","ST",77
"08105","RD",172
"08107","LN",215
"08109","TRL",132
"08111","ST",59
"08113","RD",379
"08115","ST",57
"08117","RD",427
"08119","RD",411
"08121","AVE",56
"08123","ST",1570
"08125","ST",223
"09110","RD",4065
"09120","RD",1128
"09130","RD",1853
"09140","RD",1981
"09150","RD",1155
"09160","RD",1793
"09170","RD",2166
"09180","RD",1685
"09190","RD",3601
"10001","DR",1089
"10003","DR",2465
"10005","RD",2101
"11001","NW",1434
"12001","AVE",2245
"12003","RD",634
"12005","DR",982
"12007","ST",594
"12009","DR",2439
"12011","ST",6448
"12013","RD",526
"12015","AVE",1636
"12017","CT",1114
"12019","CT",996
"12021","DR",1264
"12023","RD",872
"12027","AVE",552
"12029","ST",922
"12031","DR",3004
"12033","DR",2067
"12035","LN",668
"12037","ST",375
"12039","RD",701
"12041","ST",277
"12043","RD",231
"12045","RD",366
"12047","ST",146
"12049","RD",428
"12051","ST",506
"12053","RD",1057
"12055","RD",1414
"12057","DR",5735
"12059","RD",460
"12061","AVE",784
"12063","RD",806
"12065","RD",397
"12067","RD",424
"12069","DR",2035
"12071","CT",3249
"12073","DR",1489
"12075","ST",895
"12077","RD",292
"12079","RD",472
"12081","E",3132
"12083","ST",2747
"12085","ST",559
"12086","ST",8443
"12087","DR",610
"12089","RD",865
"12091","DR",1159
"12093","ST",673
"12095","DR",4894
"12097","DR",1325
"12099","DR",4691
"12101","DR",3775
"12103","N",3960
"12105","DR",3581
"12107","ST",1182
"12109","DR",1328
"12111","ST",1256
"12113","RD",1329
"12115","DR",2629
"12117","CT",1774
"12119","ST",653
"12121","RD",607
"12123","RD",674
"12125","LN",206
"12127","DR",2722
"12129","RD",437
"12131","RD",1232
"12133","RD",740
"13001","RD",669
"13003","LN",253
"13005","RD",332
"13007","RD",252
"13009","RD",240
"13011","RD",351
"13013","DR",425
"13015","SE",503
"13017","RD",350
"13019","RD",628
"13021","DR",1004
"13023","RD",276
"13025","RD",555
"13027","RD",368
"13029","RD",388
"13031","RD",1016
"13033","RD",487
"13035","RD",336
"13037","RD",135
"13039","RD",389
"13043","RD",314
"13045","RD",777
"13047","LN",763
"13049","RD",332
"13051","ST",1227
"13053","RD",231
"13055","RD",392
"13057","DR",1259
"13059","DR",550
"13061","RD",161
"13063","DR",1182
"13065","RD",332
"13067","DR",2828
"13069","RD",928
"13071","RD",609
"13073","DR",825
"13075","RD",305
"13077","DR",741
"13079","RD",204
"13081","RD",303
"13083","RD",249
"13085","RD",360
"13087","RD",552
"13089","DR",2129
"13091","RD",440
"13093","RD",381
"13095","AVE",425
"13097","DR",821
"13099","RD",346
"13101","RD",206
"13103","DR",446
"13105","RD",415
"13107","RD",565
"13109","RD",342
"13111","RD",749
"13113","DR",540
"13115","ST",376
"13117","DR",1255
"13119","RD",564
"13121","DR",2005
"13123","RD",756
"13125","RD",174
"13127","DR",622
"13129","SE",328
"13131","RD",258
"13133","RD",368
"13135","CT",2664
"13137","RD",632
"13139","DR",1339
"13141","RD",455
"13143","RD",549
"13145","RD",387
"13147","RD",781
"13149","RD",287
"13151","DR",1226
"13153","DR",992
"13155","RD",331
"13157","RD",626
"13159","RD",330
"13161","RD",467
"13163","RD",369
"13165","RD",328
"13167","RD",277
"13169","RD",344
"13171","RD",248
"13173","RD",235
"13175","RD",745
"13177","DR",187
"13179","RD",458
"13181","RD",209
"13183","RD",303
"13185","DR",638
"13187","RD",575
"13189","RD",227
"13191","RD",323
"13193","RD",336
"13195","RD",609
"13197","RD",246
"13199","RD",464
"13201","RD",241
"13205","RD",353
"13207","RD",319
"13209","RD",201
"13211","RD",253
"13213","RD",395
"13215","DR",1178
"13217","DR",437
"13219","RD",320
"13221","RD",343
"13225","RD",224
